Tropical Cyclone Best Track Data (post analysis)
熱帶氣旋最佳路徑數據(事後分析)
热带气旋最佳路径数据(事后分析)
Tropical Cyclone Name/熱帶氣旋名稱/热带气旋名称,Year/年/年,Month/月/月,Day/日/日,Time (UTC)/時間(協調世界時)/时间(协调世界时),Intensity/強度/强度,Latitude (0.01 degree N)/北緯(0.01度)/北纬(0.01度),Longitude (0.01 degree E)/東經(0.01度)/东经(0.01度),Estimated minimum central pressure (hPa)/估計最低中心氣壓(百帕斯卡)/估计最低中心气压(百帕斯卡),Estimated maximum surface winds (knot)/估計最高風速(海里)/估计最高风速(海里),JMA Code/JMA編號/JMA编号,HKO Code/HKO編號/HKO编号
JUDY,1986,2,1,0,TD,400,14200,1000,25,8601,0001
JUDY,1986,2,1,6,TD,440,14100,998,30,8601,0001
JUDY,1986,2,1,12,TD,500,14000,997,30,8601,0001
JUDY,1986,2,1,18,TS,580,13880,996,35,8601,0001
JUDY,1986,2,2,0,TS,670,13760,995,40,8601,0001
JUDY,1986,2,2,6,TS,780,13620,993,45,8601,0001
JUDY,1986,2,2,12,STS,880,13480,991,50,8601,0001
JUDY,1986,2,2,18,STS,970,13340,990,50,8601,0001
JUDY,1986,2,3,0,STS,1050,13240,988,50,8601,0001
JUDY,1986,2,3,6,STS,1140,13170,983,55,8601,0001
JUDY,1986,2,3,12,STS,1240,13110,981,55,8601,0001
JUDY,1986,2,3,18,STS,1360,13080,980,60,8601,0001
JUDY,1986,2,4,0,STS,1490,13140,975,60,8601,0001
JUDY,1986,2,4,6,T,1600,13230,970,70,8601,0001
JUDY,1986,2,4,12,T,1710,13350,975,70,8601,0001
JUDY,1986,2,4,18,T,1810,13520,975,70,8601,0001
JUDY,1986,2,5,0,T,1850,13670,980,65,8601,0001
JUDY,1986,2,5,6,STS,1860,13800,995,55,8601,0001
JUDY,1986,2,5,12,TS,1870,13930,1000,40,8601,0001
JUDY,1986,2,5,18,TD,1870,14050,1005,25,8601,0001
JUDY,1986,2,6,0,TD,1870,14170,1010,25,8601,0001
KEN,1986,4,26,18,TD,730,13970,995,30,8602,0002
KEN,1986,4,27,0,TS,760,13960,990,40,8602,0002
KEN,1986,4,27,6,STS,800,13940,983,55,8602,0002
KEN,1986,4,27,12,STS,830,13930,981,56,8602,0002
KEN,1986,4,27,18,STS,890,13930,980,62,8602,0002
KEN,1986,4,28,0,T,970,13930,980,70,8602,0002
KEN,1986,4,28,6,T,1000,13920,980,70,8602,0002
KEN,1986,4,28,12,T,1020,13900,983,68,8602,0002
KEN,1986,4,28,18,STS,1030,13890,986,60,8602,0002
KEN,1986,4,29,0,STS,1030,13870,990,50,8602,0002
KEN,1986,4,29,6,TS,1040,13850,994,45,8602,0002
KEN,1986,4,29,12,TS,1050,13810,997,43,8602,0002
KEN,1986,4,29,18,TS,1050,13790,998,39,8602,0002
KEN,1986,4,30,0,TS,1040,13760,999,35,8602,0002
KEN,1986,4,30,6,TS,1030,13730,999,35,8602,0002
KEN,1986,4,30,12,TD,1030,13700,999,33,8602,0002
KEN,1986,4,30,18,TD,1000,13630,999,30,8602,0002
KEN,1986,5,1,0,TD,940,13570,1000,27,8602,0002
KEN,1986,5,1,6,TD,920,13540,1000,25,8602,0002
