Tropical Cyclone Best Track Data (post analysis)
熱帶氣旋最佳路徑數據(事後分析)
热带气旋最佳路径数据(事后分析)
Tropical Cyclone Name/熱帶氣旋名稱/热带气旋名称,Year/年/年,Month/月/月,Day/日/日,Time (UTC)/時間(協調世界時)/时间(协调世界时),Intensity/強度/强度,Latitude (0.01 degree N)/北緯(0.01度)/北纬(0.01度),Longitude (0.01 degree E)/東經(0.01度)/东经(0.01度),Estimated minimum central pressure (hPa)/估計最低中心氣壓(百帕斯卡)/估计最低中心气压(百帕斯卡),Estimated maximum surface winds (knot)/估計最高風速(海里)/估计最高风速(海里),JMA Code/JMA編號/JMA编号,HKO Code/HKO編號/HKO编号
KUJIRA,2009,5,2,12,TD,1340,12440,1002,25,0901,0001
KUJIRA,2009,5,2,18,TD,1360,12450,996,30,0901,0001
KUJIRA,2009,5,3,0,TS,1390,12470,994,40,0901,0001
KUJIRA,2009,5,3,6,TS,1400,12510,990,45,0901,0001
KUJIRA,2009,5,3,12,STS,1460,12580,985,50,0901,0001
KUJIRA,2009,5,3,18,STS,1510,12650,980,55,0901,0001
KUJIRA,2009,5,4,0,STS,1560,12740,980,55,0901,0001
KUJIRA,2009,5,4,6,T,1630,12850,970,65,0901,0001
KUJIRA,2009,5,4,12,T,1680,12960,960,75,0901,0001
KUJIRA,2009,5,4,18,T,1720,13100,955,80,0901,0001
KUJIRA,2009,5,5,0,T,1760,13270,960,75,0901,0001
KUJIRA,2009,5,5,6,T,1820,13400,960,75,0901,0001
KUJIRA,2009,5,5,12,T,1890,13540,960,75,0901,0001
KUJIRA,2009,5,5,18,T,1950,13680,955,80,0901,0001
KUJIRA,2009,5,6,0,T,2040,13820,955,80,0901,0001
KUJIRA,2009,5,6,6,T,2160,13980,960,75,0901,0001
KUJIRA,2009,5,6,12,T,2250,14130,965,70,0901,0001
KUJIRA,2009,5,6,18,T,2440,14290,975,65,0901,0001
KUJIRA,2009,5,7,0,STS,2600,14370,985,50,0901,0001
KUJIRA,2009,5,7,6,TS,2800,14490,990,45,0901,0001
KUJIRA,2009,5,7,12,TS,2980,14730,998,35,0901,0001
CHAN-HOM,2009,5,3,6,TD,970,11150,1002,25,0902,0002
CHAN-HOM,2009,5,3,12,TS,990,11190,996,35,0902,0002
CHAN-HOM,2009,5,3,18,TS,1010,11220,995,35,0902,0002
CHAN-HOM,2009,5,4,0,TS,1060,11250,992,40,0902,0002
CHAN-HOM,2009,5,4,6,TS,1090,11250,990,45,0902,0002
CHAN-HOM,2009,5,4,12,TS,1140,11250,990,45,0902,0002
CHAN-HOM,2009,5,4,18,TS,1160,11250,990,45,0902,0002
CHAN-HOM,2009,5,5,0,STS,1180,11240,985,50,0902,0002
CHAN-HOM,2009,5,5,6,STS,1220,11210,985,50,0902,0002
CHAN-HOM,2009,5,5,12,STS,1270,11200,985,50,0902,0002
CHAN-HOM,2009,5,5,18,STS,1320,11220,980,55,0902,0002
CHAN-HOM,2009,5,6,0,STS,1360,11300,980,55,0902,0002
CHAN-HOM,2009,5,6,6,STS,1410,11400,975,60,0902,0002
CHAN-HOM,2009,5,6,12,STS,1430,11480,975,60,0902,0002
CHAN-HOM,2009,5,6,18,STS,1480,11590,975,60,0902,0002
CHAN-HOM,2009,5,7,0,T,1520,11730,970,65,0902,0002
CHAN-HOM,2009,5,7,6,T,1580,11880,965,70,0902,0002
CHAN-HOM,2009,5,7,12,T,1630,12000,965,70,0902,0002
CHAN-HOM,2009,5,7,18,STS,1700,12160,975,60,0902,0002
CHAN-HOM,2009,5,8,0,STS,1720,12360,985,50,0902,0002
CHAN-HOM,2009,5,8,6,TS,1730,12450,988,45,0902,0002
CHAN-HOM,2009,5,8,12,TS,1730,12550,990,40,0902,0002
CHAN-HOM,2009,5,8,18,TS,1730,12640,995,35,0902,0002
CHAN-HOM,2009,5,9,0,TD,1720,12740,998,30,0902,0002
CHAN-HOM,2009,5,9,6,TD,1720,12790,998,30,0902,0002
CHAN-HOM,2009,5,9,12,TD,1740,12880,998,30,0902,0002
CHAN-HOM,2009,5,9,18,TD,1840,12840,1000,25,0902,0002
CHAN-HOM,2009,5,10,0,TD,1880,12780,1000,25,0902,0002
CHAN-HOM,2009,5,10,6,TD,1940,12800,1000,25,0902,0002
CHAN-HOM,2009,5,10,12,TD,2030,12780,1000,25,0902,0002
CHAN-HOM,2009,5,10,18,TD,2060,12740,1000,25,0902,0002
CHAN-HOM,2009,5,11,0,TD,2160,12710,1000,25,0902,0002
CHAN-HOM,2009,5,11,6,TD,2170,12660,1004,22,0902,0002
CHAN-HOM,2009,5,11,12,TD,2230,12710,1004,22,0902,0002
CHAN-HOM,2009,5,11,18,TD,2300,12710,1004,22,0902,0002
CHAN-HOM,2009,5,12,0,TD,2390,12690,1004,22,0902,0002
LINFA,2009,6,17,12,TD,1830,11680,1000,25,0903,0003
LINFA,2009,6,17,18,TD,1830,11670,998,30,0903,0003
LINFA,2009,6,18,0,TD,1820,11660,998,30,0903,0003
LINFA,2009,6,18,6,TS,1820,11640,995,35,0903,0003
