Tropical Cyclone Best Track Data (post analysis)
熱帶氣旋最佳路徑數據(事後分析)
热带气旋最佳路径数据(事后分析)
Tropical Cyclone Name/熱帶氣旋名稱/热带气旋名称,Year/年/年,Month/月/月,Day/日/日,Time (UTC)/時間(協調世界時)/时间(协调世界时),Intensity/強度/强度,Latitude (0.01 degree N)/北緯(0.01度)/北纬(0.01度),Longitude (0.01 degree E)/東經(0.01度)/东经(0.01度),Estimated minimum central pressure (hPa)/估計最低中心氣壓(百帕斯卡)/估计最低中心气压(百帕斯卡),Estimated maximum surface winds (knot)/估計最高風速(海里)/估计最高风速(海里),JMA Code/JMA編號/JMA编号,HKO Code/HKO編號/HKO编号
KULAP,2005,1,14,12,TD,620,14710,1000,30,0501,0001
KULAP,2005,1,14,18,TD,690,14740,1000,30,0501,0001
KULAP,2005,1,15,0,TD,750,14630,1000,30,0501,0001
KULAP,2005,1,15,6,TS,800,14710,996,35,0501,0001
KULAP,2005,1,15,12,TS,920,14720,992,40,0501,0001
KULAP,2005,1,15,18,TS,1050,14690,992,40,0501,0001
KULAP,2005,1,16,0,TS,1150,14680,992,40,0501,0001
KULAP,2005,1,16,6,TS,1240,14630,992,40,0501,0001
KULAP,2005,1,16,12,TS,1310,14600,988,45,0501,0001
KULAP,2005,1,16,18,TS,1350,14670,988,45,0501,0001
KULAP,2005,1,17,0,TS,1420,14760,988,45,0501,0001
KULAP,2005,1,17,6,TS,1500,14870,988,45,0501,0001
KULAP,2005,1,17,12,TS,1560,14970,988,45,0501,0001
KULAP,2005,1,17,18,STS,1630,15070,984,50,0501,0001
KULAP,2005,1,18,0,STS,1670,15160,984,50,0501,0001
KULAP,2005,1,18,6,STS,1730,15260,984,50,0501,0001
KULAP,2005,1,18,12,STS,1780,15370,984,50,0501,0001
KULAP,2005,1,18,18,TS,1920,15580,992,40,0501,0001
ROKE,2005,3,13,12,TD,830,14560,1002,25,0502,0002
ROKE,2005,3,13,18,TD,920,14380,1002,25,0502,0002
ROKE,2005,3,14,0,TD,980,14240,1002,25,0502,0002
ROKE,2005,3,14,6,TD,1020,14120,1000,30,0502,0002
ROKE,2005,3,14,12,TD,1040,14010,1000,30,0502,0002
ROKE,2005,3,14,18,TD,1060,13910,1000,30,0502,0002
ROKE,2005,3,15,0,TS,1120,13750,996,35,0502,0002
ROKE,2005,3,15,6,TS,1180,13600,992,40,0502,0002
ROKE,2005,3,15,12,TS,1190,13450,992,40,0502,0002
ROKE,2005,3,15,18,TS,1200,13290,988,45,0502,0002
ROKE,2005,3,16,0,STS,1190,13130,984,50,0502,0002
ROKE,2005,3,16,6,STS,1170,12890,980,55,0502,0002
ROKE,2005,3,16,12,STS,1160,12690,980,55,0502,0002
ROKE,2005,3,16,18,STS,1110,12480,984,50,0502,0002
ROKE,2005,3,17,0,TS,1100,12290,988,45,0502,0002
ROKE,2005,3,17,6,TS,1140,12120,992,40,0502,0002
ROKE,2005,3,17,12,TS,1210,12000,992,40,0502,0002
ROKE,2005,3,17,18,TS,1270,11850,996,35,0502,0002
ROKE,2005,3,18,0,TD,1260,11750,1000,30,0502,0002
SONCA,2005,4,22,6,TD,1160,13590,1000,25,0503,0003
SONCA,2005,4,22,12,TD,1160,13440,996,30,0503,0003
SONCA,2005,4,22,18,TD,1160,13360,996,30,0503,0003
SONCA,2005,4,23,0,TS,1160,13270,992,35,0503,0003
SONCA,2005,4,23,6,TS,1210,13190,988,40,0503,0003
SONCA,2005,4,23,12,TS,1260,13150,984,45,0503,0003
SONCA,2005,4,23,18,STS,1320,13130,980,55,0503,0003
SONCA,2005,4,24,0,STS,1360,13090,975,60,0503,0003
SONCA,2005,4,24,6,T,1410,13080,965,70,0503,0003
SONCA,2005,4,24,12,T,1450,13080,955,80,0503,0003
SONCA,2005,4,24,18,ST,1520,13100,950,85,0503,0003
SONCA,2005,4,25,0,ST,1590,13120,950,85,0503,0003
SONCA,2005,4,25,6,ST,1660,13160,950,85,0503,0003
SONCA,2005,4,25,12,ST,1740,13230,950,85,0503,0003
SONCA,2005,4,25,18,T,1870,13300,955,80,0503,0003
SONCA,2005,4,26,0,T,2000,13400,955,80,0503,0003
SONCA,2005,4,26,6,T,2160,13570,960,75,0503,0003
SONCA,2005,4,26,12,T,2350,13810,965,70,0503,0003
SONCA,2005,4,26,18,T,2480,14020,970,65,0503,0003
SONCA,2005,4,27,0,STS,2550,14270,980,55,0503,0003
SONCA,2005,4,27,6,TS,2670,14560,984,45,0503,0003
NESAT,2005,5,30,18,TD,980,14600,1002,25,0504,0004
NESAT,2005,5,31,0,TD,990,14570,1002,25,0504,0004
NESAT,2005,5,31,6,TD,1000,14540,1000,30,0504,0004
NESAT,2005,5,31,12,TD,1030,14490,1000,30,0504,0004
NESAT,2005,5,31,18,TS,1040,14440,996,35,0504,0004
NESAT,2005,6,1,0,TS,1050,14310,992,40,0504,0004
NESAT,2005,6,1,6,TS,1070,14160,988,45,0504,0004
NESAT,2005,6,1,12,STS,1070,14050,984,50,0504,0004
NESAT,2005,6,1,18,STS,1080,13950,975,60,0504,0004
NESAT,2005,6,2,0,T,1120,13850,965,70,0504,0004
NESAT,2005,6,2,6,T,1140,13740,955,80,0504,0004
NESAT,2005,6,2,12,ST,1170,13640,950,85,0504,0004
NESAT,2005,6,2,18,ST,1200,13540,950,85,0504,0004
NESAT,2005,6,3,0,ST,1220,13440,950,85,0504,0004
NESAT,2005,6,3,6,ST,1290,13370,950,85,0504,0004
NESAT,2005,6,3,12,ST,1370,13270,945,90,0504,0004
NESAT,2005,6,3,18,ST,1410,13180,940,95,0504,0004
NESAT,2005,6,4,0,SuperT,1440,13140,935,100,0504,0004
NESAT,2005,6,4,6,SuperT,1510,13100,935,100,0504,0004
NESAT,2005,6,4,12,SuperT,1580,13060,935,100,0504,0004
NESAT,2005,6,4,18,ST,1640,13040,940,95,0504,0004
NESAT,2005,6,5,0,ST,1730,13050,945,90,0504,0004
NESAT,2005,6,5,6,ST,1810,13070,950,85,0504,0004
NESAT,2005,6,5,12,ST,1880,13130,950,85,0504,0004
NESAT,2005,6,5,18,ST,1970,13200,950,85,0504,0004
NESAT,2005,6,6,0,ST,2050,13260,950,85,0504,0004
NESAT,2005,6,6,6,ST,2120,13340,945,90,0504,0004
NESAT,2005,6,6,12,ST,2180,13390,945,90,0504,0004
NESAT,2005,6,6,18,ST,2230,13420,945,90,0504,0004
NESAT,2005,6,7,0,ST,2290,13430,950,85,0504,0004
NESAT,2005,6,7,6,T,2340,13420,955,80,0504,0004
NESAT,2005,6,7,12,T,2380,13380,955,80,0504,0004
NESAT,2005,6,7,18,T,2440,13380,955,80,0504,0004
NESAT,2005,6,8,0,T,2490,13390,955,80,0504,0004
NESAT,2005,6,8,6,T,2550,13430,960,75,0504,0004
NESAT,2005,6,8,12,T,2610,13530,965,70,0504,0004
NESAT,2005,6,8,18,T,2670,13600,970,65,0504,0004
NESAT,2005,6,9,0,STS,2740,13670,975,60,0504,0004
NESAT,2005,6,9,6,STS,2840,13720,980,55,0504,0004
NESAT,2005,6,9,12,STS,2920,13780,984,50,0504,0004
NESAT,2005,6,9,18,STS,2970,13830,984,50,0504,0004
NESAT,2005,6,10,0,TS,3050,13880,988,45,0504,0004
NESAT,2005,6,10,6,TS,3100,13950,992,40,0504,0004
NESAT,2005,6,10,12,TS,3150,14110,992,40,0504,0004
NESAT,2005,6,10,18,TS,3250,14210,996,35,0504,0004
NESAT,2005,6,11,0,TS,3420,14450,996,35,0504,0004
HAITANG,2005,7,11,12,TD,2280,15260,1000,25,0505,0005
HAITANG,2005,7,11,18,TD,2270,15220,996,30,0505,0005
HAITANG,2005,7,12,0,TS,2320,15180,992,35,0505,0005
HAITANG,2005,7,12,6,TS,2350,15100,992,35,0505,0005
HAITANG,2005,7,12,12,TS,2330,15050,992,35,0505,0005
HAITANG,2005,7,12,18,TS,2310,14980,992,35,0505,0005
HAITANG,2005,7,13,0,TS,2290,14920,992,35,0505,0005
HAITANG,2005,7,13,6,TS,2240,14830,984,45,0505,0005
HAITANG,2005,7,13,12,STS,2180,14710,975,55,0505,0005
HAITANG,2005,7,13,18,T,2130,14600,970,65,0505,0005
HAITANG,2005,7,14,0,T,2050,14460,965,70,0505,0005
HAITANG,2005,7,14,6,T,2020,14260,965,70,0505,0005
HAITANG,2005,7,14,12,T,1960,14130,960,75,0505,0005
HAITANG,2005,7,14,18,T,1960,13920,960,75,0505,0005
HAITANG,2005,7,15,0,T,1930,13690,960,75,0505,0005
HAITANG,2005,7,15,6,T,1910,13490,955,80,0505,0005
HAITANG,2005,7,15,12,ST,1930,13350,950,85,0505,0005
HAITANG,2005,7,15,18,ST,1960,13190,945,90,0505,0005
HAITANG,2005,7,16,0,ST,1990,13040,935,95,0505,0005
HAITANG,2005,7,16,6,SuperT,2030,12910,925,105,0505,0005
HAITANG,2005,7,16,12,SuperT,2070,12770,915,115,0505,0005
HAITANG,2005,7,16,18,SuperT,2090,12660,915,115,0505,0005
HAITANG,2005,7,17,0,SuperT,2140,12580,915,115,0505,0005
HAITANG,2005,7,17,6,SuperT,2220,12500,920,110,0505,0005
HAITANG,2005,7,17,12,SuperT,2300,12400,925,105,0505,0005
HAITANG,2005,7,17,18,SuperT,2370,12310,925,105,0505,0005
HAITANG,2005,7,18,0,ST,2390,12180,935,95,0505,0005
HAITANG,2005,7,18,6,ST,2380,12160,945,85,0505,0005
HAITANG,2005,7,18,12,T,2450,12120,955,75,0505,0005
