Tropical Cyclone Best Track Data (post analysis)
熱帶氣旋最佳路徑數據(事後分析)
热带气旋最佳路径数据(事后分析)
Tropical Cyclone Name/熱帶氣旋名稱/热带气旋名称,Year/年/年,Month/月/月,Day/日/日,Time (UTC)/時間(協調世界時)/时间(协调世界时),Intensity/強度/强度,Latitude (0.01 degree N)/北緯(0.01度)/北纬(0.01度),Longitude (0.01 degree E)/東經(0.01度)/东经(0.01度),Estimated minimum central pressure (hPa)/估計最低中心氣壓(百帕斯卡)/估计最低中心气压(百帕斯卡),Estimated maximum surface winds (knot)/估計最高風速(海里)/估计最高风速(海里),JMA Code/JMA編號/JMA编号,HKO Code/HKO編號/HKO编号
MALAKAS,2022,4,7,0,TD,370,14850,1000,25,2201,0001
MALAKAS,2022,4,7,6,TD,380,14780,1000,25,2201,0001
MALAKAS,2022,4,7,12,TD,390,14700,998,30,2201,0001
MALAKAS,2022,4,7,18,TD,400,14680,998,30,2201,0001
MALAKAS,2022,4,8,0,TS,450,14640,994,35,2201,0001
MALAKAS,2022,4,8,6,TS,540,14600,994,35,2201,0001
MALAKAS,2022,4,8,12,TS,600,14500,990,40,2201,0001
MALAKAS,2022,4,8,18,TS,650,14460,990,40,2201,0001
MALAKAS,2022,4,9,0,TS,700,14430,990,40,2201,0001
MALAKAS,2022,4,9,6,TS,760,14370,990,40,2201,0001
MALAKAS,2022,4,9,12,TS,800,14280,988,45,2201,0001
MALAKAS,2022,4,9,18,TS,890,14160,988,45,2201,0001
MALAKAS,2022,4,10,0,TS,1030,14050,988,45,2201,0001
MALAKAS,2022,4,10,6,TS,1120,13890,988,45,2201,0001
MALAKAS,2022,4,10,12,STS,1180,13780,984,50,2201,0001
MALAKAS,2022,4,10,18,STS,1200,13660,980,55,2201,0001
MALAKAS,2022,4,11,0,STS,1230,13640,975,60,2201,0001
MALAKAS,2022,4,11,6,STS,1300,13600,975,60,2201,0001
MALAKAS,2022,4,11,12,STS,1380,13600,975,60,2201,0001
MALAKAS,2022,4,11,18,STS,1460,13580,975,60,2201,0001
MALAKAS,2022,4,12,0,T,1530,13500,965,70,2201,0001
MALAKAS,2022,4,12,6,T,1580,13510,960,75,2201,0001
MALAKAS,2022,4,12,12,ST,1610,13530,950,85,2201,0001
MALAKAS,2022,4,12,18,ST,1670,13590,945,90,2201,0001
MALAKAS,2022,4,13,0,ST,1730,13640,940,95,2201,0001
MALAKAS,2022,4,13,6,ST,1800,13690,940,95,2201,0001
MALAKAS,2022,4,13,12,ST,1890,13770,940,95,2201,0001
MALAKAS,2022,4,13,18,SuperT,1970,13770,935,100,2201,0001
MALAKAS,2022,4,14,0,ST,2050,13800,940,95,2201,0001
MALAKAS,2022,4,14,6,ST,2180,13840,945,90,2201,0001
MALAKAS,2022,4,14,12,ST,2250,13920,950,85,2201,0001
MALAKAS,2022,4,14,18,T,2400,14040,955,80,2201,0001
MALAKAS,2022,4,15,0,T,2640,14060,965,70,2201,0001
MALAKAS,2022,4,15,6,STS,2820,14170,975,60,2201,0001
MEGI,2022,4,9,0,TD,1070,12700,1000,25,2202,0002
MEGI,2022,4,9,6,TD,1070,12680,1000,25,2202,0002
MEGI,2022,4,9,12,TD,1070,12660,1000,25,2202,0002
MEGI,2022,4,9,18,TD,1070,12650,998,30,2202,0002
MEGI,2022,4,10,0,TS,1070,12620,995,35,2202,0002
MEGI,2022,4,10,6,TS,1070,12580,995,35,2202,0002
MEGI,2022,4,10,12,TS,1080,12550,995,35,2202,0002
MEGI,2022,4,10,18,TS,1090,12530,995,35,2202,0002
MEGI,2022,4,11,0,TD,1100,12510,998,30,2202,0002
MEGI,2022,4,11,6,TD,1130,12490,998,30,2202,0002
MEGI,2022,4,11,12,TD,1120,12470,1000,25,2202,0002
MEGI,2022,4,11,15,TD,1110,12480,1000,25,2202,0002
CHABA,2022,6,29,0,TD,1530,11630,996,25,2203,0003
CHABA,2022,6,29,6,TD,1540,11610,996,25,2203,0003
CHABA,2022,6,29,12,TD,1560,11570,994,30,2203,0003
CHABA,2022,6,29,18,TD,1560,11530,994,30,2203,0003
CHABA,2022,6,30,0,TS,1580,11530,990,35,2203,0003
CHABA,2022,6,30,6,TS,1620,11520,986,40,2203,0003
CHABA,2022,6,30,12,TS,1700,11500,982,45,2203,0003
CHABA,2022,6,30,18,STS,1740,11470,978,50,2203,0003
CHABA,2022,7,1,0,STS,1830,11410,975,55,2203,0003
CHABA,2022,7,1,6,STS,1900,11320,970,60,2203,0003
CHABA,2022,7,1,12,STS,1930,11270,970,60,2203,0003
CHABA,2022,7,1,18,STS,2010,11200,970,60,2203,0003
CHABA,2022,7,2,0,T,2050,11180,965,65,2203,0003
CHABA,2022,7,2,6,T,2130,11130,965,65,2203,0003
CHABA,2022,7,2,12,STS,2190,11070,978,50,2203,0003
CHABA,2022,7,2,18,TS,2240,11050,982,45,2203,0003
CHABA,2022,7,3,0,TS,2340,11050,988,35,2203,0003
CHABA,2022,7,3,6,TD,2430,11050,990,30,2203,0003
CHABA,2022,7,3,9,TD,2470,11060,992,25,2203,0003
AERE,2022,6,30,12,TD,1910,13160,1004,25,2204,0004
AERE,2022,6,30,18,TD,1960,13150,1000,30,2204,0004
AERE,2022,7,1,0,TS,2020,13130,995,35,2204,0004
AERE,2022,7,1,6,TS,2110,13120,990,40,2204,0004
AERE,2022,7,1,12,TS,2200,13110,990,40,2204,0004
AERE,2022,7,1,18,TS,2340,13100,988,40,2204,0004
AERE,2022,7,2,0,TS,2460,13030,988,40,2204,0004
AERE,2022,7,2,6,TS,2580,12930,988,40,2204,0004
AERE,2022,7,2,12,TS,2630,12810,990,35,2204,0004
AERE,2022,7,2,18,TS,2730,12760,990,35,2204,0004
AERE,2022,7,3,0,TD,2780,12720,995,30,2204,0004
AERE,2022,7,3,6,TD,2810,12690,995,30,2204,0004
AERE,2022,7,3,12,TD,2850,12650,1000,25,2204,0004
AERE,2022,7,3,18,TD,2920,12670,1000,25,2204,0004
AERE,2022,7,4,0,TD,2990,12740,1000,25,2204,0004
AERE,2022,7,4,6,TD,3080,12790,1000,25,2204,0004
AERE,2022,7,4,12,TD,3160,12860,1000,25,2204,0004
AERE,2022,7,4,18,TD,3250,12920,1000,25,2204,0004
SONGDA,2022,7,27,6,TD,1730,14100,1002,25,2205,0005
SONGDA,2022,7,27,12,TD,1750,14100,1000,30,2205,0005
SONGDA,2022,7,27,18,TD,1870,14050,1000,30,2205,0005
SONGDA,2022,7,28,0,TD,1950,14040,1000,30,2205,0005
SONGDA,2022,7,28,6,TD,2090,14010,1000,30,2205,0005
SONGDA,2022,7,28,12,TS,2250,13930,994,35,2205,0005
SONGDA,2022,7,28,18,TS,2550,13670,994,35,2205,0005
SONGDA,2022,7,29,0,TS,2790,13430,994,35,2205,0005
SONGDA,2022,7,29,6,TS,2910,13200,994,35,2205,0005
SONGDA,2022,7,29,12,TS,2980,13020,994,35,2205,0005
SONGDA,2022,7,29,18,TS,3050,12800,994,35,2205,0005
SONGDA,2022,7,30,0,TS,3100,12670,994,35,2205,0005
SONGDA,2022,7,30,6,TS,3170,12500,994,35,2205,0005
SONGDA,2022,7,30,12,TS,3270,12410,994,35,2205,0005
SONGDA,2022,7,30,18,TS,3350,12330,994,35,2205,0005
SONGDA,2022,7,31,0,TD,3360,12310,996,30,2205,0005
SONGDA,2022,7,31,6,TD,3390,12310,998,25,2205,0005
TRASES,2022,7,30,6,TD,2160,12760,1000,25,2206,0006
TRASES,2022,7,30,12,TD,2260,12780,998,30,2206,0006
TRASES,2022,7,30,18,TD,2350,12790,998,30,2206,0006
TRASES,2022,7,31,0,TS,2580,12800,996,35,2206,0006
TRASES,2022,7,31,6,TS,2740,12760,996,35,2206,0006
TRASES,2022,7,31,12,TS,2910,12720,996,35,2206,0006
TRASES,2022,7,31,18,TS,3000,12720,996,35,2206,0006
TRASES,2022,8,1,0,TD,3270,12690,998,30,2206,0006
TRASES,2022,8,1,6,TD,3450,12640,1000,25,2206,0006
nameless,2022,8,3,12,TD,2160,11710,1002,25,,0007
nameless,2022,8,3,18,TD,2210,11580,1002,25,,0007
nameless,2022,8,4,0,TD,2250,11510,1002,25,,0007
nameless,2022,8,4,3,TD,2280,11470,1002,25,,0007
MULAN,2022,8,8,18,TD,1620,11250,998,25,2207,0008
